"block","root_kind","family","tau","fit_size","prior_semantics","model","inference","method","root_id","original_scenario_key","original_case_key","baseline_signoff_path","baseline_fit_path"
"dynamic","dynamic","gausmix","0p05",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p05_fit.rds"
"dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit.rds"
"dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit.rds"
"dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p05_fit.rds"
"dynamic","dynamic","gausmix","0p25",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p25_fit.rds"
"dynamic","dynamic","gausmix","0p25",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit.rds"
"dynamic","dynamic","gausmix","0p25",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p25_fit.rds"
"dynamic","dynamic","gausmix","0p25",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic::gausmix::0p25::5000::default","dynamic::gausmix::0p25::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit.rds"
"dynamic","dynamic","gausmix","0p95",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p95_fit.rds"
"dynamic","dynamic","gausmix","0p95",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic::gausmix::0p95::500::default","dynamic::gausmix::0p95::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit.rds"
"dynamic","dynamic","gausmix","0p95",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic::gausmix::0p95::5000::default","dynamic::gausmix::0p95::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p95_fit.rds"
"dynamic","dynamic","gausmix","0p95",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic::gausmix::0p95::5000::default","dynamic::gausmix::0p95::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p95_fit.rds"
"dynamic","dynamic","laplace","0p05",500,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic::laplace::0p05::500::default","dynamic::laplace::0p05::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p05_fit.rds"
"dynamic","dynamic","laplace","0p05",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic::laplace::0p05::500::default","dynamic::laplace::0p05::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit.rds"
"dynamic","dynamic","laplace","0p05",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic::laplace::0p05::5000::default","dynamic::laplace::0p05::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit.rds"
"dynamic","dynamic","laplace","0p05",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic::laplace::0p05::5000::default","dynamic::laplace::0p05::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p05_fit.rds"
"dynamic","dynamic","laplace","0p25",500,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic::laplace::0p25::500::default","dynamic::laplace::0p25::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p25_fit.rds"
"dynamic","dynamic","laplace","0p25",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic::laplace::0p25::500::default","dynamic::laplace::0p25::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p25_fit.rds"
"dynamic","dynamic","laplace","0p25",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic::laplace::0p25::5000::default","dynamic::laplace::0p25::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p25_fit.rds"
"dynamic","dynamic","laplace","0p25",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic::laplace::0p25::5000::default","dynamic::laplace::0p25::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p25_fit.rds"
"dynamic","dynamic","laplace","0p95",500,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p95__lasttt_500","dynamic::laplace::0p95::500::default","dynamic::laplace::0p95::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p95_fit.rds"
"dynamic","dynamic","laplace","0p95",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p95__lasttt_500","dynamic::laplace::0p95::500::default","dynamic::laplace::0p95::500::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p95_fit.rds"
"dynamic","dynamic","laplace","0p95",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__laplace__tau_0p95__lasttt_5000","dynamic::laplace::0p95::5000::default","dynamic::laplace::0p95::5000::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p95_fit.rds"
"dynamic","dynamic","laplace","0p95",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__laplace__tau_0p95__lasttt_5000","dynamic::laplace::0p95::5000::default","dynamic::laplace::0p95::5000::default::exdqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p95_fit.rds"
"dynamic","dynamic","normal","0p05",500,"default","dqlm","vb","vb::dqlm","root__dynamic__normal__tau_0p05__lasttt_500","dynamic::normal::0p05::500::default","dynamic::normal::0p05::500::default::dqlm::vb","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p05_fit.rds"
