"original_case_key","block","family","tau","fit_size","prior_semantics","model","inference","baseline_gate_overall","selected_candidate","selected_variant_tag","selected_fit_path","selected_health_path","selected_summary_path","best_scoreable_gate","best_scoreable_healthy","scoreable_candidate_count"
"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic","gausmix","0p25",5000,"default","dqlm","mcmc","WARN","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p25_fit_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823_dqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823.csv","PASS",TRUE,2
"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic","gausmix","0p25",5000,"default","exdqlm","mcmc","FAIL","row15_slice_exact_20260405","row15_slice_exact_20260405","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_row15_slice_exact_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_row15_slice_exact_20260405_exdqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_row15_slice_exact_20260405.csv","WARN",TRUE,2
"dynamic::gausmix::0p95::5000::default::dqlm::mcmc","dynamic","gausmix","0p95",5000,"default","dqlm","mcmc","WARN","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p95_fit_tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix_dqlm_gausmix_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix.csv","PASS",TRUE,1
"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","dynamic","laplace","0p25",5000,"default","exdqlm","mcmc","FAIL","slice_wave2_20260319_laplace_indep1","slice_wave2_20260319_laplace_indep1","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_wave2_20260319_laplace_indep1.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_slice_wave2_20260319_laplace_indep1_laplace_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_slice_wave2_20260319_laplace_indep1.csv","WARN",TRUE,1
"dynamic::laplace::0p95::5000::default::exdqlm::mcmc","dynamic","laplace","0p95",5000,"default","exdqlm","mcmc","FAIL","tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace","tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace_exdqlm_laplace_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace.csv","PASS",TRUE,1
"dynamic::normal::0p05::5000::default::dqlm::mcmc","dynamic","normal","0p05",5000,"default","dqlm","mcmc","WARN","tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal","tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal_dqlm_normal_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal.csv","PASS",TRUE,2
"dynamic::normal::0p25::500::default::exdqlm::mcmc","dynamic","normal","0p25",500,"default","exdqlm","mcmc","FAIL","slice_wave1_20260319","slice_wave1_20260319","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_wave1_20260319.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_slice_wave1_20260319_normal_TT500.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_slice_wave1_20260319.csv","WARN",TRUE,1
"dynamic::normal::0p25::5000::default::exdqlm::mcmc","dynamic","normal","0p25",5000,"default","exdqlm","mcmc","FAIL","slice_wave2_20260319","slice_wave2_20260319","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_wave2_20260319.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_slice_wave2_20260319_normal_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_slice_wave2_20260319.csv","WARN",TRUE,1
"dynamic::normal::0p95::500::default::exdqlm::mcmc","dynamic","normal","0p95",500,"default","exdqlm","mcmc","FAIL","tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal","tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal_exdqlm_normal_TT500.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal.csv","PASS",TRUE,1
"dynamic::normal::0p95::5000::default::exdqlm::mcmc","dynamic","normal","0p95",5000,"default","exdqlm","mcmc","WARN","tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal","tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p95_fit_tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal_exdqlm_normal_TT5000.csv","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/LOCAL_dynamic_case_health_summary_tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal.csv","PASS",TRUE,1
